gene    set1 set2
Gene176 1 1
Gene177 0 0
Gene178 0 0
Gene179 1 1
Gene180 0 0
Gene181 1 1
Gene182 0 0
Gene183 1 0
Gene184 0 0
Gene185 0 1
Gene186 0 1
Gene187 0 0
Gene188 0 0
Gene189 1 1
Gene190 1 0
Gene191 0 1
Gene192 0 0
Gene193 1 1
Gene194 1 1
Gene195 1 1
Gene196 0 0
Gene197 0 0
Gene198 1 1
Gene199 0 1
Gene200 0 0
Gene201 0 1
Gene202 1 0
Gene203 1 0
Gene204 0 1
Gene205 0 1
Gene206 1 0
Gene207 0 1
Gene208 0 0
Gene209 0 0
Gene210 0 1
Gene211 0 0
Gene212 0 0
Gene213 0 1
Gene214 1 0
Gene215 0 0
Gene216 1 1
Gene217 0 0
Gene218 0 0
Gene219 1 0
Gene220 1 0
Gene221 0 1
Gene222 1 1
Gene223 1 1
Gene224 1 1
Gene225 0 0
Gene226 0 1
Gene227 0 0
Gene228 0 1
Gene229 1 0
Gene230 1 1
Gene231 1 0
Gene232 0 0
Gene233 0 1
Gene234 0 0
Gene235 0 0
Gene236 0 1
Gene237 0 0
Gene238 1 0
Gene239 0 0
Gene240 1 0
Gene241 0 1
Gene242 1 0
Gene243 0 0
Gene244 1 0
Gene245 0 0
Gene246 1 1
Gene247 0 1
Gene248 1 1
Gene249 1 0
Gene250 1 0
Gene251 0 0
Gene252 0 1
Gene253 0 0
Gene254 0 0
Gene255 0 0
Gene256 1 0
Gene257 0 0
Gene258 0 0
Gene259 0 1
Gene260 1 0
Gene261 1 0
Gene262 1 1
Gene263 1 0
Gene264 1 1
Gene265 0 0
Gene266 0 0
Gene267 0 0
Gene268 0 0
Gene269 0 0
Gene270 0 0
Gene271 1 1
Gene272 0 0
Gene273 0 1
Gene274 0 1
Gene275 1 0
Gene276 1 0
Gene277 1 0
Gene278 0 1
Gene279 0 0
Gene280 1 1
Gene281 1 0
Gene282 0 1
Gene283 0 0
Gene284 0 0
Gene285 0 1
Gene286 0 0
Gene287 0 0
Gene288 0 1
Gene289 0 1
Gene290 1 1
Gene291 0 0
Gene292 0 0
Gene293 0 0
Gene294 1 1
Gene295 1 1
Gene296 1 0
Gene297 1 0
Gene298 0 0
Gene299 0 0
Gene300 1 1
Gene301 1 0
Gene302 0 1
Gene303 1 0
Gene304 1 1
Gene305 1 1
Gene306 0 0
Gene307 0 0
Gene308 0 0
Gene309 0 0
Gene310 0 0
Gene311 0 0
Gene312 0 0
Gene313 1 1
Gene314 0 1
Gene315 0 1
Gene316 1 0
Gene317 1 1
Gene318 0 1
Gene319 0 0
Gene320 1 1
Gene321 1 1
Gene322 0 0
Gene323 0 0
Gene324 1 0
Gene325 0 0
Gene326 0 1
Gene327 1 1
Gene328 0 1
Gene329 0 0
Gene330 1 0
Gene331 1 0
Gene332 0 1
Gene333 1 0
Gene334 1 0
Gene335 0 0
Gene336 0 0
Gene337 1 1
Gene338 1 0
Gene339 1 0
Gene340 1 0
Gene341 0 1
Gene342 0 1
Gene343 0 0
Gene344 0 1
Gene345 0 1
Gene346 0 0
Gene347 1 1
Gene348 0 1
Gene349 0 0
Gene350 1 0
Gene351 0 1
Gene352 1 0
Gene353 0 0
Gene354 0 0
Gene355 1 1
Gene356 1 0
Gene357 1 0
Gene358 0 0
Gene359 0 1
Gene360 1 1
Gene361 0 0
Gene362 0 0
Gene363 1 1
Gene364 0 0
Gene365 0 1
Gene366 1 0
Gene367 0 0
Gene368 0 1
Gene369 0 0
Gene370 0 0
Gene371 0 0
Gene372 0 0
Gene373 1 1
Gene374 0 0
Gene375 0 0
Gene376 1 0
Gene377 1 0
Gene378 0 0
Gene379 0 1
Gene380 1 0
Gene381 0 1
Gene382 1 1
Gene383 0 1
Gene384 1 1
Gene385 0 1
Gene386 1 0
Gene387 0 1
Gene388 0 1
Gene389 0 0
Gene390 0 1
Gene391 1 1
Gene392 0 0
Gene393 1 0
Gene394 1 0
Gene395 0 1
Gene396 0 1
Gene397 0 1
Gene398 0 1
Gene399 0 0
Gene400 1 0
Gene401 1 1
Gene402 0 0
Gene403 1 0
Gene404 0 0
Gene405 0 1
Gene406 0 1
Gene407 1 0
Gene408 0 1
Gene409 0 0
Gene410 1 0
Gene411 0 0
Gene412 1 1
Gene413 0 0
Gene414 0 0
Gene415 0 0
Gene416 0 1
Gene417 1 0
Gene418 0 0
Gene419 0 1
Gene420 0 0
Gene421 0 0
Gene422 1 0
Gene423 0 0
Gene424 0 1
Gene425 1 0
Gene426 1 1
Gene427 0 0
Gene428 0 1
Gene429 0 0
Gene430 1 1
Gene431 1 0
Gene432 0 1
Gene433 0 0
Gene434 1 1
Gene435 0 0
Gene436 1 0
Gene437 0 0
Gene438 0 0
Gene439 0 0
Gene440 0 0
Gene441 0 1
Gene442 0 0
Gene443 1 1
Gene444 0 1
Gene445 1 0
Gene446 1 0
Gene447 1 1
Gene448 0 0
Gene449 0 0
Gene450 1 1
Gene451 0 0
Gene452 0 0
Gene453 0 0
Gene454 0 1
Gene455 0 1
Gene456 1 0
Gene457 1 0
Gene458 1 0
Gene459 0 1
Gene460 0 1
Gene461 1 1
Gene462 0 1
Gene463 0 0
Gene464 0 0
Gene465 0 1
Gene466 0 0
Gene467 0 0
Gene468 1 1
Gene469 0 1
Gene470 1 1
Gene471 0 0
Gene472 1 0
Gene473 0 0
Gene474 1 1
Gene475 1 1
Gene476 0 1
Gene477 1 1
Gene478 0 0
Gene479 0 0
Gene480 1 0
Gene481 0 0
Gene482 1 0
Gene483 0 0
Gene484 1 0
Gene485 1 0
Gene486 0 0
Gene487 0 1
Gene488 1 0
Gene489 0 0
Gene490 1 0
Gene491 1 0
Gene492 0 1
Gene493 0 1
Gene494 1 1
Gene495 0 0
Gene496 1 1
Gene497 0 1
Gene498 0 0
Gene499 1 1
Gene500 1 0
Gene501 0 0
Gene502 0 0
Gene503 0 0
Gene504 0 0
Gene505 0 0
Gene506 0 1
Gene507 0 0
Gene508 0 1
Gene509 1 0
Gene510 0 1
Gene511 0 1
Gene512 0 0
Gene513 1 0
Gene514 0 1
Gene515 1 1
Gene516 0 0
Gene517 0 0
Gene518 1 0
Gene519 0 1
Gene520 1 1
Gene521 0 0
Gene522 0 0
Gene523 0 1
Gene524 0 1
Gene525 0 0
Gene526 1 1
Gene527 1 1
Gene528 0 0
Gene529 1 0
Gene530 0 0
Gene531 1 1
Gene532 1 0
Gene533 0 1
Gene534 1 0
Gene535 0 0
Gene536 1 1
Gene537 0 0
Gene538 1 0
Gene539 0 0
Gene540 0 0
Gene541 1 0
Gene542 0 1
Gene543 1 0
Gene544 0 1
Gene545 1 1
Gene546 1 0
Gene547 0 1
Gene548 1 0
Gene549 1 0
Gene550 0 1
Gene551 0 0
Gene552 0 1
Gene553 0 1
Gene554 1 0
Gene555 0 0
Gene556 0 0
Gene557 1 0
Gene558 0 0
Gene559 0 1
Gene560 0 0
Gene561 0 0
Gene562 1 1
Gene563 1 0
Gene564 0 0
Gene565 1 0
Gene566 1 0
Gene567 0 1
Gene568 1 0
Gene569 0 0
Gene570 1 0
Gene571 0 0
Gene572 1 0
Gene573 0 0
Gene574 0 1
Gene575 1 0
Gene576 1 0
Gene577 0 1
Gene578 0 0
Gene579 0 1
Gene580 0 0
Gene581 1 0
Gene582 1 0
Gene583 1 0
Gene584 0 0
Gene585 1 0
Gene586 0 1
Gene587 0 1
Gene588 1 0
Gene589 1 0
Gene590 0 1
Gene591 0 0
Gene592 0 0
Gene593 1 1
Gene594 0 0
Gene595 0 1
Gene596 1 0
Gene597 0 0
Gene598 0 1
Gene599 1 0
Gene600 0 0
Gene601 0 0
Gene602 1 1
Gene603 0 0
Gene604 0 1
Gene605 0 1
Gene606 1 0
Gene607 0 0
Gene608 1 0
Gene609 0 0
Gene610 0 1
Gene611 1 1
Gene612 0 1
Gene613 0 0
Gene614 1 0
Gene615 0 1
Gene616 1 0
Gene617 1 1
Gene618 1 0
Gene619 1 0
Gene620 0 1
Gene621 1 1
Gene622 1 1
Gene623 1 0
Gene624 0 1
Gene625 0 0
Gene626 0 0
Gene627 0 1
Gene628 1 0
Gene629 0 0
Gene630 0 1
Gene631 1 1
Gene632 1 0
Gene633 0 0
Gene634 1 0
Gene635 0 1
Gene636 0 0
Gene637 1 1
Gene638 1 0
Gene639 1 0
Gene640 0 1
Gene641 0 0
Gene642 1 1
Gene643 1 1
Gene644 0 1
Gene645 0 1
Gene646 1 0
Gene647 1 0
Gene648 0 0
Gene649 0 0
Gene650 1 1
Gene651 1 0
Gene652 1 1
Gene653 0 0
Gene654 0 0
Gene655 1 0
Gene656 1 0
Gene657 1 1
Gene658 0 0
Gene659 0 1
Gene660 0 0
Gene661 1 0
Gene662 1 0
Gene663 0 0
Gene664 1 0
Gene665 0 0
Gene666 0 0
Gene667 1 0
Gene668 0 0
Gene669 1 0
Gene670 0 0
Gene671 0 0
Gene672 0 1
Gene673 0 0
Gene674 0 1
Gene675 0 0
Gene676 0 0
Gene677 1 1
Gene678 0 0
Gene679 0 0
Gene680 0 0
Gene681 1 1
Gene682 1 0
Gene683 1 0
Gene684 1 1
Gene685 1 1
Gene686 0 1
Gene687 0 0
Gene688 0 0
Gene689 0 1
Gene690 0 0
Gene691 0 0
Gene692 1 0
Gene693 0 1
Gene694 0 1
Gene695 0 0
Gene696 0 1
Gene697 0 1
Gene698 0 1
Gene699 0 0
Gene700 0 1
Gene701 1 1
Gene702 0 0
Gene703 0 0
Gene704 1 1
Gene705 0 0
Gene706 1 0
Gene707 0 0
Gene708 0 1
Gene709 0 1
Gene710 0 0
Gene711 1 0
Gene712 0 1
Gene713 1 1
Gene714 1 0
Gene715 0 1
Gene716 0 0
Gene717 0 0
Gene718 0 0
Gene719 1 1
Gene720 0 1
Gene721 0 0
Gene722 1 0
Gene723 1 0
Gene724 1 0
Gene725 1 1
Gene726 1 0
Gene727 1 0
Gene728 1 0
Gene729 1 0
Gene730 0 1
Gene731 0 0
Gene732 1 1
Gene733 1 0
Gene734 1 0
Gene735 0 0
Gene736 0 0
Gene737 1 1
Gene738 1 1
Gene739 0 0
Gene740 0 0
Gene741 1 0
Gene742 0 0
Gene743 0 0
Gene744 0 1
Gene745 0 0
Gene746 0 0
Gene747 1 0
Gene748 0 0
Gene749 1 0
Gene750 1 0
Gene751 0 0
Gene752 0 0
Gene753 0 1
Gene754 0 0
Gene755 0 0
Gene756 0 0
Gene757 0 0
Gene758 1 0
Gene759 0 0
Gene760 0 0
Gene761 0 0
Gene762 0 1
Gene763 0 0
Gene764 0 0
Gene765 0 1
Gene766 0 0
Gene767 0 0
Gene768 0 0
Gene769 1 0
Gene770 1 1
Gene771 1 0
Gene772 1 1
Gene773 1 0
Gene774 1 0
Gene775 0 0
Gene776 0 0
Gene777 0 0
Gene778 0 0
Gene779 1 0
Gene780 1 0
Gene781 0 0
Gene782 1 0
Gene783 0 1
Gene784 1 1
Gene785 1 1
Gene786 0 0
Gene787 0 1
Gene788 0 1
Gene789 0 1
Gene790 1 0
Gene791 1 0
Gene792 0 0
Gene793 0 1
Gene794 0 1
Gene795 1 0
Gene796 0 0
Gene797 0 1
Gene798 0 1
Gene799 0 0
Gene800 0 0
Gene801 0 0
Gene802 0 1
Gene803 0 1
Gene804 0 1
Gene805 0 1
Gene806 1 0
Gene807 0 0
Gene808 0 0
Gene809 1 0
Gene810 1 1
Gene811 0 1
Gene812 1 1
Gene813 0 0
Gene814 1 0
Gene815 1 0
Gene816 0 0
Gene817 0 0
Gene818 0 1
Gene819 0 1
Gene820 0 1
Gene821 1 0
Gene822 0 0
Gene823 1 0
Gene824 1 0
Gene825 1 1
Gene826 0 0
Gene827 0 0
Gene828 0 1
Gene829 0 1
Gene830 1 0
Gene831 0 0
Gene832 1 1
Gene833 0 0
Gene834 1 0
Gene835 1 0
Gene836 0 0
Gene837 1 1
Gene838 1 1
Gene839 0 0
Gene840 0 0
Gene841 1 0
Gene842 1 1
Gene843 1 0
Gene844 0 0
Gene845 0 1
Gene846 0 1
Gene847 1 0
Gene848 0 1
Gene849 0 1
Gene850 0 0
Gene851 0 1
Gene852 1 1
Gene853 1 0
Gene854 1 1
Gene855 0 1
Gene856 0 0
Gene857 1 0
Gene858 0 0
Gene859 0 0
Gene860 1 1
Gene861 0 1
Gene862 0 1
Gene863 1 0
Gene864 0 0
Gene865 1 1
Gene866 0 0
Gene867 0 0
Gene868 0 0
Gene869 0 1
Gene870 0 0
Gene871 0 0
Gene872 0 0
Gene873 1 0
Gene874 0 1
Gene875 1 1
Gene876 1 1
Gene877 0 0
Gene878 1 0
Gene879 1 1
Gene880 1 0
Gene881 0 1
Gene882 1 1
Gene883 1 0
Gene884 0 1
Gene885 1 1
Gene886 1 0
Gene887 0 1
Gene888 0 1
Gene889 0 0
Gene890 0 1
Gene891 0 0
Gene892 1 0
Gene893 1 1
Gene894 0 1
Gene895 1 0
Gene896 1 0
Gene897 0 1
Gene898 0 1
Gene899 0 1
Gene900 1 1
Gene901 1 0
Gene902 0 0
Gene903 1 1
Gene904 0 0
Gene905 1 0
Gene906 0 1
Gene907 1 1
Gene908 1 1
Gene909 1 0
Gene910 0 1
Gene911 0 0
Gene912 0 0
Gene913 1 1
Gene914 0 1
Gene915 0 1
Gene916 1 0
Gene917 0 0
Gene918 0 0
Gene919 0 0
Gene920 0 0
Gene921 1 0
Gene922 0 1
Gene923 0 0
Gene924 1 0
Gene925 1 0
Gene926 1 0
Gene927 0 1
Gene928 0 0
Gene929 0 0
Gene930 1 0
Gene931 1 1
Gene932 0 0
Gene933 1 0
Gene934 0 1
Gene935 1 0
Gene936 0 0
Gene937 0 0
Gene938 1 1
Gene939 1 0
Gene940 0 0
Gene941 1 1
Gene942 0 0
Gene943 0 1
Gene944 0 0
Gene945 0 1
Gene946 0 1
Gene947 0 1
Gene948 0 0
Gene949 0 1
Gene950 0 0
Gene951 0 1
Gene952 0 1
Gene953 1 0
Gene954 0 0
Gene955 0 0
Gene956 1 0
Gene957 1 0
Gene958 0 0
Gene959 0 0
Gene960 0 1
Gene961 0 0
Gene962 0 1
Gene963 1 0
Gene964 0 0
Gene965 1 1
Gene966 0 1
Gene967 0 1
Gene968 0 1
Gene969 1 1
Gene970 0 1
Gene971 1 0
Gene972 0 0
Gene973 1 1
Gene974 0 0
Gene975 0 1
Gene976 1 1
Gene977 1 0
Gene978 0 0
Gene979 0 0
Gene980 0 0
Gene981 0 0
Gene982 1 0
Gene983 1 0
Gene984 1 0
Gene985 1 0
Gene986 1 0
Gene987 0 1
Gene988 0 0
Gene989 0 1
Gene990 0 0
Gene991 0 1
Gene992 0 1
Gene993 0 1
Gene994 0 0
Gene995 0 0
Gene996 1 0
Gene997 1 0
Gene998 0 0
Gene999 1 0
Gene1000 0 0
Gene1001 0 0
Gene1002 0 0
Gene1003 0 0
Gene1004 1 1
Gene1005 1 0
Gene1006 0 0
Gene1007 1 1
Gene1008 0 0
Gene1009 0 0
Gene1010 0 0
Gene1011 0 1
Gene1012 0 0
Gene1013 0 1
Gene1014 0 1
Gene1015 0 0
Gene1016 1 1
Gene1017 0 0
Gene1018 1 1
Gene1019 0 1
Gene1020 0 0
Gene1021 0 0
Gene1022 1 1
Gene1023 0 0
Gene1024 0 0
Gene1025 1 0
Gene1026 0 0
Gene1027 0 0
Gene1028 0 1
Gene1029 0 0
Gene1030 0 1
Gene1031 0 1
Gene1032 0 0
Gene1033 0 1
Gene1034 0 1
Gene1035 1 1
Gene1036 0 0
Gene1037 0 1
Gene1038 0 0
Gene1039 0 1
Gene1040 0 1
Gene1041 1 0
Gene1042 1 1
Gene1043 0 1
Gene1044 0 0
Gene1045 0 0
Gene1046 0 0
Gene1047 0 0
Gene1048 0 1
Gene1049 1 0
Gene1050 1 0
Gene1051 1 0
Gene1052 1 0
Gene1053 1 0
Gene1054 0 0
Gene1055 0 0
Gene1056 0 1
Gene1057 1 0
Gene1058 0 0
Gene1059 0 0
Gene1060 1 0
Gene1061 1 1
Gene1062 0 0
Gene1063 0 0
Gene1064 0 0
Gene1065 0 0
Gene1066 1 0
Gene1067 0 0
Gene1068 0 1
Gene1069 1 1
Gene1070 0 0
Gene1071 1 0
Gene1072 1 0
Gene1073 1 1
Gene1074 1 1
Gene1075 1 0
Gene1076 1 0
Gene1077 0 1
Gene1078 0 1
Gene1079 0 1
Gene1080 0 0
Gene1081 0 0
Gene1082 0 1
Gene1083 0 1
Gene1084 0 0
Gene1085 1 1
Gene1086 0 0
Gene1087 0 0
Gene1088 0 0
Gene1089 1 1
Gene1090 0 0
Gene1091 1 1
Gene1092 0 0
Gene1093 0 1
Gene1094 0 0
Gene1095 1 0
Gene1096 1 1
Gene1097 1 0
Gene1098 1 1
Gene1099 0 1
Gene1100 0 0
Gene1101 1 1
Gene1102 1 0
Gene1103 0 1
Gene1104 1 0
Gene1105 1 0
Gene1106 0 1
Gene1107 0 1
Gene1108 1 0
Gene1109 1 0
Gene1110 1 1
Gene1111 0 1
Gene1112 1 0
Gene1113 0 0
Gene1114 0 0
Gene1115 0 0
Gene1116 0 0
Gene1117 0 1
Gene1118 1 1
Gene1119 0 0
Gene1120 0 0
Gene1121 0 1
Gene1122 0 1
Gene1123 1 0
Gene1124 0 0
Gene1125 0 1
Gene1126 0 0
Gene1127 1 0
Gene1128 0 0
Gene1129 0 1
Gene1130 0 0
Gene1131 0 1
Gene1132 1 1
Gene1133 1 0
Gene1134 0 0
Gene1135 1 1
Gene1136 1 0
Gene1137 0 0
Gene1138 0 1
Gene1139 0 0
Gene1140 0 1
Gene1141 1 0
Gene1142 0 0
Gene1143 0 0
Gene1144 1 0
Gene1145 0 1
Gene1146 0 1
Gene1147 1 1
Gene1148 1 0
Gene1149 0 0
Gene1150 0 1
Gene1151 1 0
Gene1152 0 0
Gene1153 1 1
Gene1154 1 0
Gene1155 0 0
Gene1156 0 0
Gene1157 0 1
Gene1158 1 1
Gene1159 0 0
Gene1160 0 1
Gene1161 0 1
Gene1162 0 1
Gene1163 0 1
Gene1164 0 1
Gene1165 0 0
Gene1166 0 1
Gene1167 1 1
Gene1168 0 0
Gene1169 0 0
Gene1170 1 0
Gene1171 0 1
Gene1172 0 0
Gene1173 1 1
Gene1174 1 1
Gene1175 0 1
Gene1176 0 0
Gene1177 1 1
Gene1178 0 0
Gene1179 0 0
Gene1180 1 0
Gene1181 0 1
Gene1182 0 0
Gene1183 1 0
Gene1184 1 0
Gene1185 1 0
Gene1186 0 0
Gene1187 0 1
Gene1188 1 1
Gene1189 1 1
Gene1190 0 0
Gene1191 0 1
Gene1192 0 1
Gene1193 0 1
Gene1194 1 0
Gene1195 0 0
Gene1196 0 1
Gene1197 1 1
Gene1198 0 1
Gene1199 1 1
Gene1200 0 1
Gene1201 1 0
Gene1202 1 1
Gene1203 0 0
Gene1204 1 1
Gene1205 0 0
Gene1206 1 0
Gene1207 0 1
Gene1208 0 1
Gene1209 1 0
Gene1210 0 0
Gene1211 0 0
Gene1212 1 0
Gene1213 0 0
Gene1214 0 1
Gene1215 0 0
Gene1216 1 0
Gene1217 0 0
Gene1218 1 0
Gene1219 0 1
Gene1220 1 0
Gene1221 0 0
Gene1222 0 0
Gene1223 0 0
Gene1224 1 1
Gene1225 1 1
Gene1226 0 0
Gene1227 0 0
Gene1228 0 0
Gene1229 1 0
Gene1230 0 1
Gene1231 0 0
Gene1232 0 0
Gene1233 0 0
Gene1234 0 0
Gene1235 0 1
Gene1236 0 0
Gene1237 0 0
Gene1238 1 0
Gene1239 1 0
Gene1240 0 0
Gene1241 0 0
Gene1242 0 0
Gene1243 1 1
Gene1244 0 1
Gene1245 1 0
Gene1246 0 0
Gene1247 0 1
Gene1248 0 1
Gene1249 0 1
Gene1250 1 1
Gene1251 1 1
Gene1252 0 0
Gene1253 0 0
Gene1254 0 0
Gene1255 0 1
Gene1256 1 1
Gene1257 0 0
Gene1258 0 0
Gene1259 1 0
Gene1260 0 1
Gene1261 0 0
Gene1262 1 1
Gene1263 0 1
Gene1264 0 0
Gene1265 1 0
Gene1266 0 0
Gene1267 1 1
Gene1268 1 0
Gene1269 0 0
Gene1270 1 0
Gene1271 0 0
Gene1272 1 0
Gene1273 0 1
Gene1274 0 0
Gene1275 1 0
Gene1276 0 1
Gene1277 1 1
Gene1278 1 0
Gene1279 0 0
Gene1280 0 0
Gene1281 0 1
Gene1282 1 0
Gene1283 1 1
Gene1284 1 1
Gene1285 0 0
Gene1286 0 0
Gene1287 1 1
Gene1288 0 1
Gene1289 0 0
Gene1290 0 0
Gene1291 1 1
Gene1292 0 1
Gene1293 0 1
Gene1294 1 1
Gene1295 0 0
Gene1296 0 0
Gene1297 1 0
Gene1298 1 1
Gene1299 1 0
Gene1300 0 0
Gene1301 0 0
Gene1302 0 1
Gene1303 0 1
Gene1304 1 1
Gene1305 1 0
Gene1306 0 1
Gene1307 0 1
Gene1308 0 1
Gene1309 1 0
Gene1310 0 0
Gene1311 0 0
Gene1312 0 1
Gene1313 1 1
Gene1314 0 1
Gene1315 1 0
Gene1316 0 0
Gene1317 1 1
Gene1318 0 1
Gene1319 0 0
Gene1320 0 0
Gene1321 1 1
Gene1322 0 0
Gene1323 1 0
Gene1324 0 0
Gene1325 1 1
Gene1326 0 0
Gene1327 0 1
Gene1328 0 0
Gene1329 0 1
Gene1330 1 0
Gene1331 0 0
Gene1332 0 0
Gene1333 0 1
Gene1334 1 0
Gene1335 0 1
Gene1336 0 1
Gene1337 1 0
Gene1338 1 0
Gene1339 1 1
Gene1340 0 0
Gene1341 0 1
Gene1342 0 0
Gene1343 0 0
Gene1344 0 1
Gene1345 1 1
Gene1346 1 1
Gene1347 0 1
Gene1348 1 1
Gene1349 0 0
Gene1350 0 0
Gene1351 0 1
Gene1352 0 0
Gene1353 0 1
Gene1354 0 0
Gene1355 0 0
Gene1356 0 1
Gene1357 0 0
Gene1358 1 1
Gene1359 0 0
Gene1360 0 1
Gene1361 1 0
Gene1362 0 1
Gene1363 1 1
Gene1364 0 0
Gene1365 0 1
Gene1366 0 0
Gene1367 0 0
Gene1368 0 1
Gene1369 0 1
Gene1370 0 0
Gene1371 0 0
Gene1372 0 0
Gene1373 0 0
Gene1374 1 0
Gene1375 1 0
Gene1376 1 0
Gene1377 0 0
Gene1378 1 1
Gene1379 0 0
Gene1380 1 1
Gene1381 0 0
Gene1382 0 1
Gene1383 1 1
Gene1384 0 1
Gene1385 1 1
Gene1386 0 0
Gene1387 0 0
Gene1388 1 0
Gene1389 0 1
Gene1390 0 0
Gene1391 1 0
Gene1392 1 1
Gene1393 0 0
Gene1394 0 0
Gene1395 0 1
Gene1396 1 1
Gene1397 1 1
Gene1398 0 1
Gene1399 0 0
Gene1400 0 0
Gene1401 0 0
Gene1402 0 0
Gene1403 0 1
Gene1404 0 0
Gene1405 0 0
Gene1406 1 0
Gene1407 0 0
Gene1408 1 1
Gene1409 0 1
Gene1410 1 1
Gene1411 1 0
Gene1412 1 1
Gene1413 1 0
Gene1414 0 0
Gene1415 0 0
Gene1416 1 1
Gene1417 0 1
Gene1418 0 0
Gene1419 1 0
Gene1420 0 1
Gene1421 1 0
Gene1422 0 1
Gene1423 0 1
Gene1424 1 0
Gene1425 0 0
Gene1426 0 0
Gene1427 0 1
Gene1428 1 1
Gene1429 1 0
Gene1430 0 1
Gene1431 1 0
Gene1432 0 1
Gene1433 1 1
Gene1434 1 0
Gene1435 0 1
Gene1436 0 1
Gene1437 1 0
Gene1438 1 1
Gene1439 1 0
Gene1440 0 1
Gene1441 0 1
Gene1442 1 0
Gene1443 0 0
Gene1444 0 0
Gene1445 1 0
Gene1446 1 0
Gene1447 0 0
Gene1448 0 1
Gene1449 0 0
Gene1450 0 0
Gene1451 0 0
Gene1452 1 1
Gene1453 1 1
Gene1454 0 0
Gene1455 0 1
Gene1456 1 0
Gene1457 0 1
Gene1458 1 0
Gene1459 1 1
Gene1460 0 1
Gene1461 1 1
Gene1462 1 1
Gene1463 1 1
Gene1464 0 1
Gene1465 0 0
Gene1466 1 0
Gene1467 1 1
Gene1468 0 0
Gene1469 0 0
Gene1470 0 0
Gene1471 1 1
Gene1472 0 1
Gene1473 1 1
Gene1474 0 0
Gene1475 0 1
Gene1476 1 0
Gene1477 0 1
Gene1478 1 0
Gene1479 1 1
Gene1480 1 0
Gene1481 1 0
Gene1482 0 0
Gene1483 1 0
Gene1484 1 1
Gene1485 1 0
Gene1486 0 0
Gene1487 1 1
Gene1488 0 0
Gene1489 0 0
Gene1490 1 1
Gene1491 0 0
Gene1492 0 1
Gene1493 1 0
Gene1494 1 0
Gene1495 0 1
Gene1496 1 1
Gene1497 1 1
Gene1498 0 1
